strain	accession	genbank_accession_rev	strain_original	date	region	country	division	location	host	date_submitted	sra_accession	abbr_authors	reverse	clade	lineage	missing_data	divergence	nonACGTN	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_frame_shifts	QC_stop_codons	frame_shifts	is_reverse_complement	authors	institution
ON720849	ON720849	ON720849.1	MpxV/Spain/MD-HGUGM-6532064/2022	2022-05-27	Europe	Spain			Homo sapiens	2022-06-09		Buenestado-Serrano et al		hMPXV-1	B.1	377.0	605.0	1.0	good	good	good	bad	good	NBT03_gp052:9-130,NBT03_gp174:175-177,OPG023:386-661,OPG025:50-631,OPG027:96-151,OPG044:149-150,OPG050:73-76,OPG054:145-440,OPG056:354-636,OPG057:113-373,OPG061:50-232,OPG063:64-480,OPG074:365-666,OPG075:76-109,OPG078:57-74,OPG084:11-677,OPG087:98-221,OPG088:43-91,OPG097:267-345,OPG102:32-124,OPG102:234-334,OPG104:61-134,OPG109:117-453,OPG114:11-147,OPG115:45-234,OPG117:678-786,OPG123:571-632,OPG124:206-288,OPG126:29-151,OPG127:40-225,OPG129:12-645,OPG133:317-711,OPG134:88-293,OPG136:878-892,OPG138:7-191,OPG145:15-493,OPG148:422-427,OPG149:18-188,OPG151:3-1032,OPG154:58-111,OPG155:9-147,OPG163:88-177,OPG165:238-269,OPG172:191-197,OPG178:159-205,OPG180:244-560,OPG189:88-108,OPG190:172-318,OPG193:264-268,OPG195:45-222,OPG198:230-283,OPG208:228-358,OPG209:179-191,OPG210:431-1881	False	Buenestado-Serrano,S., Palomino-Cabrera,R., Penas-Utrilla,D., Rodriguez-Grande,J., Sola Campoy,P., Perez-Lago,L., Rodriguez-Grande,C., Herranz Martin,M., Suarez,J., Catalan,P., Munoz,P., Garcia de Viedma,D.	Microbial Genomics, Hospital General Universitario Gregorio Marañón, Madrid, Spain
ON803430	ON803430	ON803430.1	MpxV/human/CAN/UN-NML-2874/2022	2022-05-19	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	22.0	605.0	0.0	good	good	good	good	good		False	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	
ON649715	ON649715	ON649715.1	Monkeypox/PT0017/2022	2022-05-20	Europe	Portugal			Homo sapiens	2022-06-01		Isidro et al		hMPXV-1	B.1	7788.0	583.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
ON959151	ON959151	ON959151.1	MPXV/Germany/2022/RKI160	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-11		Brinkmann et al		hMPXV-1	B.1	0.0	609.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.	
ON585030	ON585030	ON585030.1	Monkeypox/PT0002/2022	2022-05-15	Europe	Portugal			Homo sapiens	2022-05-24		Isidro et al		hMPXV-1	B.1	11437.0	566.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
ON959174	ON959174	ON959174.1	MPXV/Germany/2022/RKI161	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-11		Brinkmann et al		hMPXV-1	B.1	0.0	607.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON843173	ON843173	ON843173.1	Monkeypox/PT0029/2022	2022-05-27	Europe	Portugal			Homo sapiens	2022-06-24		Isidro et al		hMPXV-1	B.1	86.0	606.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	
ON622720	ON622720	ON622720.1	MPXV-CH-38156923/2022	2022-05-24	Europe	Switzerland			Homo sapiens	2022-05-27		Laubscher et al		hMPXV-1	B.1	16380.0	542.0	1.0	mediocre	good	good	good	good		False	Laubscher,F., Schibler,M., Kaiser,L., Renzoni,A.	Laboratory of Viorology, University Hospital of Geneva, Switzerland
ON853656	ON853656	ON853656.1	MPXV/Germany/2022/RKI070	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	190.0	609.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON755243	ON755243	ON755243.1	MPXV/Germany/2022/RKI037	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-14		Brinkmann et al		hMPXV-1	B.1	100.0	607.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON853673	ON853673	ON853673.1	MPXV/Germany/2022/RKI094	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	433.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON637938	ON637938	ON637938.1	MPXV/Germany/2022/RKI01	2022-05-XX	Europe	Germany			Homo sapiens	2022-05-31		Brinkmann et al		hMPXV-1	B.1	127.0	607.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON782054	ON782054	ON782054.1	MPXV/Spain/HUNSC_ITER_0001a/2022	2022-05-31	Europe	Spain			Homo sapiens	2022-06-16		Alcoba-Florez et al		hMPXV-1	B.1	64.0	579.0	0.0	good	good	good	good	good		False	Alcoba-Florez,J., Munoz-Barrera,A., Ciuffreda,L., Rodriguez-Perez,H., Rubio-Rodriguez,L.A., Gil-Campesino,H., Garcia-Martinez de Artola,D., Inigo-Campos,A., Diez-Gil,O., Gonzalez-Montelongo,R., Valenzuela-Fernandez,A., Lorenzo-Salazar,J.M., Flores,C.	
ON792322	ON792322	ON792322.1	hMpxV/Switzerland/ZH-UZH-IMV-3ba64538/2022	2022-06-02	Europe	Switzerland	Zürich		Homo sapiens	2022-06-17		Kufner et al		hMPXV-1	B.1	0.0	606.0	10.0	good	good	good	good	good		False	Kufner,V., Ziltener,G., Zaheri,M., Schmutz,S., Audige,A., Bernasconi,O., Steiner,K., Huder,J., Shah,C., Capaul,R., Bloemberg,G., Boeni,J., Huber,M., Trkola,A.	
ON803418	ON803418	ON803418.1	MpxV/human/CAN/UN-NML-2837/2022	2022-05-18	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	506.0	604.0	0.0	good	good	good	good	good		False	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	
ON880521	ON880521	ON880521.1	MpxV/human/CAN/UN-NML-2858/2022	2022-05-19	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	762.0	603.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
ON694335	ON694335	ON694335.1	MPXV/Germany/2022/RKI018	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-07		Brinkmann et al		hMPXV-1	B.1	38.0	602.0	0.0	good	good	good	good	good	OPG023:526-661	False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON694332	ON694332	ON694332.1	MPXV/Germany/2022/RKI023	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-07		Brinkmann et al		hMPXV-1	B.1	111.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON918656	ON918656	ON918656.1	MPXV/human/Taiwan/110-231642/2022	2022-06-XX	Asia	Taiwan			Homo sapiens	2022-07-05		Lin et al		hMPXV-1	B.1	0.0	610.0	0.0	good	good	good	good	good		False	Lin,J.-H., Chiu,S.-C., Huang,H.-I., Huang,W.-L., Fann,W.-B., Hsieh,P.-Y., Yang,J.-Y.	
ON568298	ON568298	ON568298.1	MPXV-BY-IMB25241	2022-05-19	Europe	Germany			Homo sapiens	2022-05-23		Antwerpen et al		hMPXV-1	B.1	0.0	606.0	0.0	good	good	good	good	good		False	Antwerpen,M.H., Lang,D., Zange,S., Walter,M.C., Woelfel,R.	Microbiol Genomics & Bioinformatics, Bundeswehr Institute of Microbiology, Germany
ON803441	ON803441	ON803441.1	MpxV/human/CAN/UN-NML-2955/2022	2022-05-23	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	37.0	605.0	0.0	good	good	good	good	good		False	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	
ON803433	ON803433	ON803433.1	MpxV/human/CAN/UN-NML-2885/2022	2022-05-20	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	2340.0	598.0	0.0	good	good	good	good	good		False	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	
ON813255	ON813255	ON813255.2	MPXV/Germany/2022/RKI058	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-22		Brinkmann et al		hMPXV-1	B.1	172.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Stocker,H., Schaade,L., Nitsche,A.	
ON959133	ON959133	ON959133.1	MPXV_USA_2022_NY002	2022-05-XX	North America	USA	New York		Homo sapiens	2022-07-11		Gigante et al		hMPXV-1	B.1	0.0	608.0	0.0	good	good	good	good	good		False	Gigante,C.M., Hughes,S., Seabolt,M.H., Zhao,H., Wilkins,K., Respress,J., Howard,D., Batra,D., McCollum,A., Hutson,C., Davidson,W., Rao,A., Baumgartner,J., Li,Y.	
ON813261	ON813261	ON813261.2	MPXV/Germany/2022/RKI061	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-22		Brinkmann et al		hMPXV-1	B.1	193.0	608.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON813259	ON813259	ON813259.2	MPXV/Germany/2022/RKI055	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-22		Brinkmann et al		hMPXV-1	B.1	184.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON959167	ON959167	ON959167.1	MPXV/Germany/2022/RKI153	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-11		Brinkmann et al		hMPXV-1	B.1	0.0	607.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON959175	ON959175	ON959175.1	MPXV/Germany/2022/RKI162	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-11		Brinkmann et al		hMPXV-1	B.1	0.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON649721	ON649721	ON649721.1	Monkeypox/PT0021/2022	2022-05-19	Europe	Portugal			Homo sapiens	2022-06-01		Isidro et al		hMPXV-1	B.1	4.0	605.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
ON622718	ON622718	ON622718.1	MPXV/ES0001/HUGTiP/2022	2022-05-20	Europe	Spain			Homo sapiens	2022-05-27		Martinez-Puchol et al		hMPXV-1	B.1	2187.0	600.0	1.0	good	good	good	good	good	OPG025:386-631,OPG159:111-146,OPG189:9-562	False	Martinez-Puchol,S., Coello,A., Bordoy,A.E., Soler,L., Panisello,D., Gonzalez-Gomez,S., Clara,G., Paris de Leon,A., Not,A., Hernandez,A., Bofill-Mas,S., Saludes,V., Blanco,I., Martro,E., Cardona,P.-J.	Microbiology, Hospital Universitari Germans Trias i Pujol, Spain
ON649725	ON649725	ON649725.1	Monkeypox/PT0011/2022	2022-05-23	Europe	Portugal			Homo sapiens	2022-06-01		Isidro et al		hMPXV-1	B.1	0.0	605.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
ON843180	ON843180	ON843180.1	Monkeypox/PT0042/2022	2022-06-03	Europe	Portugal			Homo sapiens	2022-06-24		Isidro et al		hMPXV-1	B.1	9238.0	579.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Lopes de Carvalho,I., Pelerito,A., Cordeiro,R., Gomes,J.P.	
ON755238	ON755238	ON755238.2	MPXV/Germany/2022/RKI032	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-14		Brinkmann et al		hMPXV-1	B.1	849.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON585029	ON585029	ON585029.1	Monkeypox/PT0001/2022	2022-05-04	Europe	Portugal			Homo sapiens	2022-05-24		Isidro et al		hMPXV-1	B.1	15226.0	554.0	0.0	mediocre	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Ferreira,R., Sobral,D., Nunes,A., Santos,J.D., Mixao,V., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
ON627808	ON627808	ON627808.1	MPX/human/USA/UT-UPHL-82200022/2022	2022-05-20	North America	USA			Homo sapiens	2022-05-29		Young et al		hMPXV-1	B.1	22.0	605.0	0.0	good	good	good	good	good		False	Young,E.L., Hergert,J., Oakeson,K.F.	Department of Health, Utah Public Health Laboratory, USA
ON595760	ON595760	ON595760.2	MPXV-CH-38134631/2022	2022-05-19	Europe	Switzerland			Homo sapiens	2022-05-24		Laubscher et al		hMPXV-1	B.1	301.0	602.0	1.0	good	good	good	good	good		False	Laubscher,F., Chudzinski,V., Schibler,M., Kaiser,L., Renzoni,A.	Laboratory of Viorology, University Hospital of Geneva, Switzerland
ON853666	ON853666	ON853666.1	MPXV/Germany/2022/RKI084	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	280.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON853664	ON853664	ON853664.1	MPXV/Germany/2022/RKI082	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	734.0	602.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON631963	ON631963	ON631963.1	MPxV/VIDRL01/2022	2022-05-XX	Oceania	Australia			Homo sapiens	2022-05-31		Hammerschlag et al		hMPXV-1	B.1	0.0	608.0	0.0	good	good	good	good	good		False	Hammerschlag,Y., MacLeod,G., Papadakis,G., Adnan Sanchez,A., Druce,J., Savic,I., Taiaroa,G., Roberts,J., Caly,L., Williamson,D.A., Cheng,A.C., McMahon,J.H.	Victorian Infectious Diseases Reference Laboratory, Doherty Institute, Australia
ON853678	ON853678	ON853678.1	MPXV/Germany/2022/RKI100	2022-06-XX	Europe	Germany			Homo sapiens	2022-06-27		Brinkmann et al		hMPXV-1	B.1	247.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON782022	ON782022	ON782022.1	MPX-42/Finland/2022	2022-05-31	Europe	Finland			Homo sapiens	2022-06-16		Kant et al		hMPXV-1	B.1	0.0	605.0	0.0	good	good	good	good	good		False	Kant,R., Smura,T., Vauhkonen,H., Vapalahti,O., Sironen,T.	
ON780017	ON780017	ON780017.1	INMI-Pt4	2022-05-21	Europe	Italy			Homo sapiens	2022-06-16		Gramigna et al		hMPXV-1	B.1	41.0	606.0	0.0	good	good	good	good	good		False	Gramigna,G., Giombini,E., Gruber,C.E.M., Rueca,M., Carletti,F., Cicalini,S., Lapa,D., Puro,V., Marani,A., Fabeni,L., Butera,O., Colavita,F., Meschi,S., Matusali,G., Rivano Capparuccia,M., Specchiarello,E., Vairo,F., Vaia,F., Nicastri,E., Antinori,A., Girardi,E., Maggi,F.	
ON782055	ON782055	ON782055.1	MPXV/Spain/HUNSC_ITER_0001b/2022	2022-05-31	Europe	Spain			Homo sapiens	2022-06-16		Alcoba-Florez et al		hMPXV-1	B.1	182.0	609.0	1.0	good	good	good	good	good		False	Alcoba-Florez,J., Munoz-Barrera,A., Ciuffreda,L., Rodriguez-Perez,H., Rubio-Rodriguez,L.A., Gil-Campesino,H., Garcia-Martinez de Artola,D., Inigo-Campos,A., Diez-Gil,O., Gonzalez-Montelongo,R., Valenzuela-Fernandez,A., Lorenzo-Salazar,J.M., Flores,C.	
ON880510	ON880510	ON880510.1	MpxV/human/CAN/UN-NML-3193/2022	2022-05-31	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	1689.0	606.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.	
ON880514	ON880514	ON880514.1	MpxV/human/CAN/UN-NML-3412/2022	2022-06-04	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	7365.0	592.0	0.0	mediocre	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.	
ON880516	ON880516	ON880516.1	MpxV/human/CAN/UN-NML-3472/2022	2022-06-02	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	21.0	605.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Jolly,G., Audet,J., Fernando,L., Antonation,K., Safronetz,D., Hagan,M., Griffiths,E., Leung,A., Graham,M., Peters,G., Go,A., Laminman,V., Kaplen,B., Eshaghi,A., Gubbay,J.B., Hasso,M., Marchand-Austin,A., Olsha,R., Patel,S.N.	
ON880519	ON880519	ON880519.2	MpxV/human/CAN/UN-NML-2833/2022	2022-05-13	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	3894.0	593.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
ON615424	ON615424	ON615424.1	MPXV_2022_NL001	2022-05-XX	Europe	Netherlands			Homo sapiens	2022-05-26		Oude Munnink et al		hMPXV-1	B.1	1358.0	595.0	0.0	good	good	good	good	good		False	Oude Munnink,B.B., Boter,M., Wellers,B., Molenkamp,R., Sikkema,R.S., Koopmans,M.	Public Health Virology, Erasmus Medical Centre, The Netherlands
ON803422	ON803422	ON803422.1	MpxV/human/CAN/UN-NML-2850/2022	2022-05-19	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	175.0	608.0	0.0	good	good	good	good	good		False	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	
ON694329	ON694329	ON694329.1	MPXV/Germany/2022/RKI025	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-07		Brinkmann et al		hMPXV-1	B.1	101.0	605.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Jessen,H., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON880535	ON880535	ON880535.1	MpxV/human/CAN/UN-NML-3269/2022	2022-05-31	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	7601.0	590.0	0.0	mediocre	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
ON880542	ON880542	ON880542.1	MpxV/human/CAN/UN-NML-3348/2022	2022-05-31	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	36.0	605.0	1.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
ON880544	ON880544	ON880544.1	MpxV/human/CAN/UN-NML-3363/2022	2022-06-02	North America	Canada			Homo sapiens	2022-06-30		Duggan et al		hMPXV-1	B.1	2971.0	600.0	0.0	good	good	good	good	good		False	Duggan,A., Hole,D., Knox,N., Yadav,C., Haidl,E., Chapel,M., Domselaar,G.V., Fernando,L., Graham,M., Antonation,K., Audet,J., Hagan,M., Safronetz,D., Leung,A., Peters,G., Go,A., Laminman,V., Kaplen,B., Jolly,G., Charest,H., Levade,I., Fafard,J.	
ON649710	ON649710	ON649710.1	Monkeypox/PT0027/2022	2022-05-18	Europe	Portugal			Homo sapiens	2022-06-01		Isidro et al		hMPXV-1	B.1	2709.0	594.0	0.0	good	good	good	good	good		False	Isidro,J., Borges,V., Pinto,M., Sobral,D., Santos,J.D., Nunes,A., Mixao,V., Ferreira,R., Santos,D., Duarte,S., Vieira,L., Borrego,M.J., Nuncio,S., Carvalho,I.L., Pelerito,A., Cordeiro,R., Gomes,J.P.	Institute National de Saude Doutor Ricardo Jorge (INSA), Portugal
ON927243	ON927243	ON927243.1	MpxV/Spain/MD-HGUGM-6642566/2022	2022-06-21	Europe	Spain			Homo sapiens	2022-07-06		Palomino-Cabrera et al		hMPXV-1	B.1	2957.0	592.0	2.0	good	good	good	good	good		False	Palomino-Cabrera,R., Penas-Utrilla,D., Buenestado-Serrano,S., Perez-Lago,L., Herranz Martin,M., Veintimilla,C., Catalan,P., Munoz,P., Garcia de Viedma,D.	
ON694337	ON694337	ON694337.1	MPXV/Germany/2022/RKI020	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-07		Brinkmann et al		hMPXV-1	B.1	149.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON929064	ON929064	ON929064.1	MPXV/Germany/2022/RKI106	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-06		Brinkmann et al		hMPXV-1	B.1	0.0	610.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
ON803439	ON803439	ON803439.1	MpxV/human/CAN/UN-NML-2899/2022	2022-05-20	North America	Canada			Homo sapiens	2022-06-21		Knox et al		hMPXV-1	B.1	135.0	611.0	0.0	good	good	good	good	good		False	Knox,N., Duggan,A., Yadav,C., Hole,D., Haidl,E., Chapel,M., Jolly,G., Domselaar,G.V., Antonation,K., Leung,A., Fernando,L., Audet,J., Hagan,M., Graham,M., Griffiths,E., Safronetz,D., Charest,H., Levade,I., Fafard,J.	
ON694341	ON694341	ON694341.2	MPXV/Germany/2022/RKI012	2022-05-XX	Europe	Germany			Homo sapiens	2022-06-07		Brinkmann et al		hMPXV-1	B.1	88.0	606.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Uddin,S., Pape,K., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	Centre for Biological Threats, Highly Pathogenic Viruses, Robert Koch Institute, Germany
ON929078	ON929078	ON929078.1	MPXV/Germany/2022/RKI123	2022-07-XX	Europe	Germany			Homo sapiens	2022-07-06		Brinkmann et al		hMPXV-1	B.1	136.0	609.0	0.0	good	good	good	good	good		False	Brinkmann,A., Kohl,C., Pape,K., Uddin,S., Schrick,L., Michel,J., Schaade,L., Nitsche,A.	
